id;title;description;start_date;end_date;type;target_amount;category;xp_reward;created_at;family_id
1;youthfully likewise;ferociously stable;2025-07-11T10:56:51;2025-07-11T07:38:19;SAVING;21138.68;OTHER;16907;2025-07-11T13:16:11;1
2;minister;across;2025-07-10T17:58:22;2025-07-10T23:32:06;INVESTMENT;28359.39;TREASURE;13615;2025-07-11T05:29:22;2
3;horst;fragrant;2025-07-10T22:48:30;2025-07-10T23:56:03;SAVING;14652.36;EQUIPMENT;29472;2025-07-11T12:31:59;3
4;now gee;oof;2025-07-11T06:02:26;2025-07-10T22:12:33;TRACKING;14160.64;POTION;6508;2025-07-11T03:19:48;4
5;abnegate friendly;conservative upwardly;2025-07-11T07:18:18;2025-07-10T17:28:42;RESTRICTION;29619.51;OTHER;4427;2025-07-11T07:25:54;5
6;worldly teeming;harmful for;2025-07-10T22:17:59;2025-07-11T02:36:45;INVESTMENT;2601.43;SHIELD;27805;2025-07-10T18:05:00;6
7;versus um;corporation psst lace;2025-07-10T18:04:12;2025-07-10T16:54:21;RESTRICTION;4873.55;EQUIPMENT;23782;2025-07-10T15:44:31;7
8;valuable chow fowl;supposing cloudy bleakly;2025-07-11T02:07:31;2025-07-10T23:35:14;SAVING;18166.1;OTHER;22767;2025-07-11T11:54:42;8
9;smuggle yippee;junior caption pure;2025-07-11T00:17:45;2025-07-10T23:06:23;SAVING;12212.03;ADVENTURE;23344;2025-07-11T02:34:38;9
10;exactly swelter;cautiously;2025-07-11T12:56:14;2025-07-10T18:05:20;INVESTMENT;28895.3;SHIELD;3888;2025-07-11T00:37:28;10
