id;name;balance;type;icon;color;description;created_at;owner_id
1;whether wisely phew;31360.57;SAVINGS;mmm;azul;eggplant underneath;2025-07-11T01:09:30;1
2;yowza tomorrow;8424.52;PERSONAL;until;púrpura;outflank suddenly;2025-07-11T05:28:50;2
3;hmph;24110.51;SHARED;ew dredger;cenoura;cop completion;2025-07-10T21:10:30;3
4;misfire that;2315.73;SHARED;unused;pele;suspiciously;2025-07-11T00:16:02;4
5;dearest;32461.39;SHARED;sore react;cenoura;phew repeatedly;2025-07-11T09:36:14;5
6;baa cutover;24879.34;PERSONAL;integer;fúchsia;delight;2025-07-10T14:46:24;6
7;climb;846.13;SHARED;gosh orientate;laranja;glisten crafty;2025-07-10T14:25:56;7
8;how disinherit nor;15732.22;SHARED;eyebrow viciously gripping;verde lima;chubby;2025-07-10T22:28:43;8
9;amid once pish;5452.38;SAVINGS;bah emotional;escarlate;whole fishery;2025-07-10T21:24:34;9
10;considering;27512.13;INVESTMENT;overdue;azul petróleo;whose form so;2025-07-11T05:55:25;10
